address,number,addressInfo,levels,label,usage,comment,priceRange,toGo,startY,endY,inhabited,moreIndustry,seats,barTable,railings,roof,branded,createdAt
Davidstraße,15,EG,2,Tasija,Club,ehemals Golden Fire; leerstand in Ogs,,,,,,,,,,,,5/31/2016
Davidstraße,13,UG,2,Lokal Patriot,Club,,,,,,,,,,,,,5/31/2016
Davidstraße,13,EG,2,The Other Place,Kneipe,Genre: rock ; leerstand in Ogs,,,,,,,,,,,,5/31/2016
Davidstraße,12,EG,1,Zum Anker,Kneipe,,,,,,,,,,,,,5/31/2016
Davidstraße,11,EG,1,Cuneo,Restaurant,Italiener; älteste Italiener in Hamburg,,,1905,,,,,,,,,5/31/2016
Davidstraße,10,EG,0,Hafen Kiosk,Kiosk,,,,,,,,,,,,,5/31/2016
Davidstraße,10,EG,0,Goldenstar,Spielhalle,,,,,,,,,,,,,5/31/2016
Davidstraße,5,EG,???,TopKauf,Einzelhandel,Lebensmittel,,,,,true,,,,,,,5/31/2016
Davidstraße,5,EG,???,Chopper-Vermietung,Einzelhandel,Chopper Einzelhandel und Vermietung,,,,,true,,,,,,,5/31/2016
Davidstraße,5,EG,???,Hootsy Tootsy,Einzelhandel,Handmade,,,,,true,,,,,,,5/31/2016
Davidstraße,4,EG,???,Savci,Einzelhandel,,,,,,true,,,,,,,5/31/2016
Davidstraße,4,EG,???,Transmontana,Café,,,,,,true,,15,,,,,5/31/2016
Davidstraße,3,EG,3,Alibarber Shop,Dienstleistung,Friseur,,,,,,,,,,,,5/31/2016
Davidstraße,3,EG,3,David`s Kauf 1x1,Kiosk,,,,,,,,,,,,,5/31/2016
Davidstraße,3,EG,3,Hafen Kiosk,Kiosk,,,,,,,,,,,,,5/31/2016
Davidstraße,3,EG,3,Zur scharfen Ecke,Kneipe,"durch das Empire wurde die Kneipe von einer Anwohner Kneipe zu einer ""gehobenen"" Kneipe",,,1911,,,,,,,,,5/31/2016
Bernhard-Nocht-Straße,97,Haus,20,Empire Riverside Hotel,Hotel,inkl. Twenty Up Bar,,,,,,,,,,,,5/31/2016
Davidstraße,37,Haus,5,Copper House,Restaurant,Verwaltung von Fraatz in den Ogs; weitere Firmen/Agenturen im Haus,,,,,false,true,,,,,,5/31/2016
Davidstraße,36,EG,4,La Ilongga,Leerstand,,,,,,true,,,,,,,5/31/2016
Davidstraße,34,UG,4,Zum Windjammer,Kneipe,,,,,,true,,,,,,,5/31/2016
Davidstraße,34,EG,4,Kiosk Mittenmang,Kiosk,,,,,,true,,,,,,,5/31/2016
Davidstraße,31,EG,4,Pinoy,Bar,Latino,,,,,true,,,,,,,5/31/2016
Davidstraße,31,EG,4,Stay Gold,Einzelhandel,Kleidung,,,,,true,,,,,,,5/31/2016
Davidstraße,30,EG,4,Kiezdruck Galerie,Galerie,ehemals Sty Alive,,,,,true,,,,,,,5/31/2016
Davidstraße,29,EG,4,Taverna Hellas,Restaurant,Grieche; seit 40 Jahren hier,,,,,true,,,,,,,5/31/2016
Davidstraße,29,EG,4,Mother's Fine Coffee,Café,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,4,EG,1,Blaue Nacht,Kneipe,,,,,,,,,,,,,5/31/2016
Friedrichstraße,6,UG,1,Die Grotte,Kneipe,,,,,,,,,,,,,5/31/2016
Friedrichstraße,8,EG,2,Purgatory,Club,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,12,EG,2,Venus Bar,Bar,inkl. Biergarten,,,,,true,,,,,,,5/31/2016
Friedrichstraße,16,EG,2,Lucky Star 2,Bar,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,18,EG,2,Friedrich's,Bar,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,22,EG,2,Die Rutsche,Bar,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,24,EG,2,Murphy's Irish Pub,Irish Pub,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,11,EG,5,La Paloma Bar,Kneipe,126/127/128 gehören zusammen -> siehe Homepages,,,,,true,,,,,,,5/31/2016
Friedrichstraße,11,EG,5,Astra Bar,Bar,126/127/128 gehören zusammen -> siehe Homepages,,,,,true,,,,,,,5/31/2016
Friedrichstraße,11,EG,5,Bar Automatic Roadrunner,Bar,126/127/128 gehören zusammen -> siehe Homepages,,,,,true,,,,,,,5/31/2016
Friedrichstraße,9,EG,4,Soundgarden No 9,Bar,,,,,,true,,30,3,,,,5/31/2016
Friedrichstraße,9,EG,4,Emy Nails,Dienstleistung,Nagelstudio,,,,,,,,,,,,5/31/2016
Friedrichstraße,7b,EG,0,Osborne,Kneipe,Preis: 2.1€ und Fassbier 3€; Garage?,2,,,,,,,,,,,5/31/2016
Friedrichstraße,7a,EG,0,Buddy's,Bar,,,,,,,,10,1,,,,5/31/2016
Friedrichstraße,5,EG,???,Befried,Fast Food,Vegan,,,,,true,,,,,,,5/31/2016
Friedrichstraße,5,EG,???,Bayern Stüberl,Kneipe,,,,,,true,,,,,,,5/31/2016
Friedrichstraße,5,EG,???,Goldenstar,Spielhalle,,,,,,true,,,,,,,5/31/2016
Reeperbahn,115,EG,4,Sexy Angel,Sexshop,,,,,,true,,,,,,,5/24/2016
Hans-Albers-Platz,9,EG,4,Kizzeria Bar & Lounge,Bar,inkl. Kiosk; vier große Sonnenschirme,,WAHR,,,,,150,,,true,,5/24/2016
Hans-Albers-Platz,8,EG,5,Quer Club,Bar,acht große Sonnenschirme; alles seitlich abgetrennt; Anwohner Aussage: fühlen sich sehr gestört und eingeschränkt (Zitat: besoffene Horde von Engländern),,,,,true,,300,,true,true,,5/24/2016
Hans-Albers-Platz,6,EG,2,Pizzeria Alt,Restaurant,Italiener,,WAHR,,,,true,30,,,,,5/24/2016
Hans-Albers-Platz,6,OG,2,Hotel Alt Hamburg,Hotel,,,,,,,,,,,,,5/24/2016
Hans-Albers-Platz,5,EG,2,Rodizo Steakhouse,Restaurant,Steakhaus,,,,,,,40,,,,,5/24/2016
Hans-Albers-Platz,3,EG,4,Mary´s Kult-Bar,Bar,ehmals Mary Lou's: http://st.pauli-news.de/tageslicht/mary-lous-wird-marys-cult-bar-20-flight-rock-oeffnet-wieder/,,,2016,,WAHR,,,,,,,5/24/2016
Hans-Albers-Platz,3,EG,4,Hesburger,Fast Food,Bürger,,,,,WAHR,,,,,,,5/24/2016
Hans-Albers-Platz,3,EG,4,Rotlicht,Bar,,,,,,WAHR,,,,,,,5/24/2016
Hans-Albers-Platz,2,Haus,3,,Wohnungen,,,,,,WAHR,,,,,,,5/24/2016
Hans-Albers-Platz,1,EG,3,KING,Kneipe,,,,,,WAHR,,,,,,,5/24/2016
Friedrichstraße,21,EG + OG,5,Fritzbar + Platzhirsch,Bar,,,,,,WAHR,,,,,,,5/24/2016
Friedrichstraße,19,EG,5,Hans-Albers-Klausel,Kneipe,abgetrennt durch kleine Wände und überdacht durch zwei große Sonnenschirme,,,,,WAHR,,120,,WAHR,WAHR,,5/24/2016
Friedrichstraße,17,Haus,1,Frieda B.,Bar,überdacht durch vier große Sonnenschirme,,,,,FALSCH,,120,,,WAHR,,5/24/2016
Hans-Albers-Platz,20,EG,3,Hans-Albers-Eck,Bar,überdacht durch zwei große Sonnenschirme,,,,,,,60,,,WAHR,,5/24/2016
Hans-Albers-Platz,20,EG,3,Hans to go,Kiosk,gehört zum Hans-Albers-Eck; überdacht durch zwei große Sonnenschirme,,,,,,,60,,,WAHR,,5/24/2016
Hans-Albers-Platz,18,EG,2,London Pub,Pub,überdacht durch zwei große Sonnenschirme,,,,,,,150,,,WAHR,,5/24/2016
Hans-Albers-Platz,17,EG,2,Scandinavien Club Hamburg,Bar,Musik-Bar; überdacht durch einen großen Sonnenschirm,,,,,,,120,,,WAHR,,5/24/2016
Hans-Albers-Platz,16,EG,3,The Academy,Bar,Live Musik-Bar; überdacht durch zwei große Sonnenschirme,,,,,,,120,,,WAHR,,5/24/2016
Hans-Albers-Platz,15,EG,3,Drafhouse Hamburg,Bar,im Impressum steht Hausnr. 20 und die Seite sieht aus wie die vom Hans-Albers-Eck; Live Musik-Bar; im Hinterhof,,,,,,,,,,,,5/24/2016
Hans-Albers-Platz,14,EG,3,Molly Malone,Irish Pub,im Impressum steht Hausnr. 20 und die Seite sieht aus wie die vom Hans-Albers-Eck,,,,,,,,,,,,5/24/2016
Spielbudenplatz,31,Haus,3,Davidwache,Polizeikommissariat,Polizeikommissariat 15,,,,,,,,,,,,4/20/2016
