address,number,addressInfo,levels,label,usage,comment,priceRange,toGo,startY,endY,inhabited,moreIndustry,seats,barTable,railings,roof,branded,createdAt;;
GroÌÙe Freiheit,3,Haus,1,Susis Show Bar,Stripklub,vllt auch GroÌÙe Freiheit 3,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,5 - 7,Haus,1,GroÌÙe Freiheit 7 ,Club,Gewerbe in OGs??,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,7,EG,2,A La Charm,Table Dance,,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,9,Haus,2,Pat Club,Club,,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,11,Haus,3,Dollhouse,Stripklub,,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,13,EG,0,O'Brians,Diskothek,,,,,,,,30,,,,,6/7/2016;;
GroÌÙe Freiheit,15,EG,0,DF DÌ¦ner Freiheit,Fast Food,DÌ¦ner,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,17,OG,2,Nightlife,,??? Checken!,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,17,EG,2,Dollhouse Beach Club,Stripklub,,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,23,EG,2,Bierstube,Kneipe,,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,23,OG,2,Jimmys Showbar,Stripklub,,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,27,Hinterhof,1,Location Town,Bar,??? Checken!; Genre: Clubhits/Charts,,,,,,,,,,,,6/7/2016;
GroÌÙe Freiheit,39,Hinterhof,1,Kiez Alm,Bar,mit Biergarten,,,,,,,,,,,,6/7/2016;;
GroÌÙe Freiheit,39,Hinterhof,1,Thai Karoke,Bar,Karaoke,,,,,,,,,,,,6/7/2016;;
HolstenstraÌÙe,1,EG,5,St. Pauli Textilreinigung,Dienstleistung,Reinigung,,,,,,,,,,,,5/31/2016;;
Reeperbahn,???,Haus,4,MÌ¦bel Brandes,,ehemaliges MÌ¦bel Brandes GebÌ_ude; wurde verkauft,,,,,,,,,,,,5/31/2016;
"Reeperbahn,151,EG,1,Bei Teresa,Restaurant,""Ì_berdacht durch fÌ_nf festverbaute Markisen (nicht an der Wand sondern auf dem """"Weg"""")"",,,,,,,100,,true,true,,5/31/2016";;
Reeperbahn,153,EG,1,Kiosk,Kiosk,,,,,,,,,,,,,5/31/2016;;
Reeperbahn,153,EG,1,Mi Barrio,CafÌ©,,,,,,,,10,,,,,5/31/2016;;
Reeperbahn,153,EG,1,Bistro Bar,CafÌ©,Lateinamerkia,,,,,,,,,,,,5/31/2016;;
Reeperbahn,153,EG,1,Joker,Restaurant,fest verbauter Sonnenschirm; Pizza & Burger,,,,,,,30,,true,true,,5/31/2016;
Reeperbahn,153,,1,Shisha Lounge,Lounge,??? Checken welche Etage!,,,,,,,,,,,,5/31/2016;;
Reeperbahn,155,EG,1,Amsterdam Headshop,Tourishop,Tabakladen und ZubehÌ¦r,,,,,,,,,,,,5/31/2016;;
Reeperbahn,155,EG,1,Biggys Boutique,Einzelhandel,Damenmode,,,,,,,,,,,,5/31/2016;;
Reeperbahn,155,OG,1,Tourist Center,,??? Checken!,,,,,,,,,,,,5/31/2016;;
Reeperbahn,157,EG,16,Lidl,Supermarkt,,,,,,true,,,,,,,5/31/2016;;
Reeperbahn,157,EG,16,Schweinske,Restaurant,inkl. GroÌÙem Biergarten,,,,,true,,,,,,,5/31/2016;;
Reeperbahn,157,EG,16,Place of Beauty's,Dienstleistung,Friseur und Nagelstudio,,,,,true,,,,,,,5/31/2016;;
Reeperbahn,157,OG,16,Apartments,Wohnungen,wohnen,,,,,true,,,,,,,5/31/2016;;
Beatles Platz,1,EG,,Tunnel,Club,,,,,,,,,,,,,5/31/2016;;
Nobistor,8,EG,,Hundertmark,Einzelhandel,Western Kleidung,,,,,,,,,,,,5/31/2016;;
Nobistor,10,,,Thomas Read,Irish Pub,??? Stockwerke checken,,,,,,,,,,,,5/31/2016;;
Nobistor,10,OG,,NOHO,Club,,,,,,,,,,,,,5/31/2016;;
Nobistor,14,EG,,Molotow,Club,mit Innenhof; OGs leerstand???,,,,,,,,,,,,5/31/2016;
DavidstraÌÙe,23,EG,4,Salon Harry,Dienstleistung,Herren Friseur; seit Ewigkeiten vor Ort,,,,,true,true,,,,,,5/31/2016;
DavidstraÌÙe,23,EG,4,David Quelle,Kneipe,Preise: etwa 2‰âÂ,2,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,20-22,EG,0,Kiez-Mobile,Einzelhandel,Mobiltelefone,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,21,EG,0,Hanoi,Restaurant,Vietnamesisch,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,20,EG,0,Virthursan Shop,Kiosk,??? Hausnr 23?,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,18,UG,2,CafÌ© Journal,Kneipe,drÌ_ber eine Absteige (sicher!),,TRUE,,,,true,,,,,,5/31/2016;;
FriedrichstraÌÙe,2,EG,2,Pils BÌ¦rse,Kneipe,,,,,,,,,,,,,5/31/2016;;
